time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-06 00:00:00+00:00,2,2,83,4
2022-10-07 00:00:00+00:00,3,2,21,8
2022-10-08 00:00:00+00:00,44,2,134,1
2022-10-09 00:00:00+00:00,12,4,49,6
2022-10-10 00:00:00+00:00,27,5,31,4
2022-10-11 00:00:00+00:00,18,4,88,7
2022-10-12 00:00:00+00:00,13,4,28,2
2022-10-13 00:00:00+00:00,0,0,26,4
2022-10-14 00:00:00+00:00,1,1,3,2
2022-10-15 00:00:00+00:00,30,4,28,2
2022-10-16 00:00:00+00:00,1,1,20,4
2022-10-17 00:00:00+00:00,20,4,28,3
2022-10-18 00:00:00+00:00,1,1,49,12
2022-10-19 00:00:00+00:00,1,1,137,79
2022-10-20 00:00:00+00:00,32,9,196,23
2022-10-21 00:00:00+00:00,1,1,13,7
2022-10-22 00:00:00+00:00,77,7,135,7
2022-10-23 00:00:00+00:00,0,0,15,2
